2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-61846-1458-6, dataForwardedTime:2026-07-13 13:57:52.532, dataReceiveTime:2026-07-13 13:57:52.532, brokerTimeStamp:1783951072532, latency=0
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 192.168.50.9-52.85.89.88-41776-443-6, dataForwardedTime:2026-07-13 13:57:52.546, dataReceiveTime:2026-07-13 13:57:52.592, brokerTimeStamp:1783951072592, latency=46
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 192.168.50.6-8.8.8.8-62044-53-17, dataForwardedTime:2026-07-13 13:57:52.553, dataReceiveTime:2026-07-13 13:57:52.592, brokerTimeStamp:1783951072592, latency=39
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-15991-15991-6, dataForwardedTime:2026-07-13 13:57:52.563, dataReceiveTime:2026-07-13 13:57:52.592, brokerTimeStamp:1783951072592, latency=29
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-59963-31538-17, dataForwardedTime:2026-07-13 13:57:52.574, dataReceiveTime:2026-07-13 13:57:52.592, brokerTimeStamp:1783951072592, latency=18
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-46665-14405-17, dataForwardedTime:2026-07-13 13:57:52.588, dataReceiveTime:2026-07-13 13:57:52.592, brokerTimeStamp:1783951072592, latency=4
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 185.54.150.17-192.168.50.9-443-43534-6, dataForwardedTime:2026-07-13 13:57:52.592, dataReceiveTime:2026-07-13 13:57:52.605, brokerTimeStamp:1783951072605, latency=13
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-35553-21795-17, dataForwardedTime:2026-07-13 13:57:52.603, dataReceiveTime:2026-07-13 13:57:52.605, brokerTimeStamp:1783951072605, latency=2
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-36132-33852-17, dataForwardedTime:2026-07-13 13:57:52.612, dataReceiveTime:2026-07-13 13:57:52.613, brokerTimeStamp:1783951072613, latency=1
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-40069-57574-6, dataForwardedTime:2026-07-13 13:57:52.622, dataReceiveTime:2026-07-13 13:57:52.622, brokerTimeStamp:1783951072622, latency=0
2026-07-13 20:57:52 [Producer-1] Data Sent with Flow ID: 172.16.0.5-192.168.50.4-900-12759-17, dataForwardedTime:2026-07-13 13:57:52.639, dataReceiveTime:2026-07-13 13:57:52.640, brokerTimeStamp:1783951072640, latency=1
